 no_of_dependents, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, loan_status, education_ Graduate, education_ Not Graduate, self_employed_ No, self_employed_ Yes,loan_status_encoded
2,6400000,25000000,12,667,13500000,5500000,25500000,Approved,1.0,0.0,1.0,0.0,1
1,6700000,25000000,20,598,5300000,12900000,13600000,Approved,0.0,1.0,1.0,0.0,1
1,600000,1400000,10,699,400000,500000,1300000,Approved,0.0,1.0,0.0,1.0,1
4,2500000,5100000,20,695,1100000,4100000,6700000,Approved,0.0,1.0,0.0,1.0,1
2,7800000,28900000,14,646,1800000,1800000,17700000,Approved,1.0,0.0,0.0,1.0,1
0,300000,900000,20,436,0,400000,600000,Rejected,0.0,1.0,1.0,0.0,0
1,8400000,29900000,16,476,16100000,2400000,32700000,Rejected,0.0,1.0,1.0,0.0,0
5,500000,1200000,16,499,600000,600000,1500000,Rejected,0.0,1.0,1.0,0.0,0
2,6900000,23900000,12,814,13000000,1900000,26600000,Approved,0.0,1.0,1.0,0.0,1
5,2700000,5600000,2,815,1100000,2000000,7100000,Approved,0.0,1.0,1.0,0.0,1
2,1300000,2700000,8,627,100000,300000,2600000,Approved,0.0,1.0,0.0,1.0,1
3,200000,600000,16,821,400000,100000,500000,Approved,1.0,0.0,1.0,0.0,1
1,4900000,16800000,12,758,1700000,2700000,11100000,Approved,0.0,1.0,0.0,1.0,1
0,500000,1900000,2,857,1100000,500000,1800000,Approved,0.0,1.0,1.0,0.0,1
1,6500000,20600000,2,306,15900000,1900000,18100000,Approved,1.0,0.0,0.0,1.0,1
3,8800000,33700000,12,397,17300000,16000000,22200000,Rejected,1.0,0.0,1.0,0.0,0
2,2800000,7400000,18,666,100000,2300000,6300000,Approved,1.0,0.0,0.0,1.0,1
0,5100000,11600000,10,308,8700000,1300000,10700000,Rejected,0.0,1.0,0.0,1.0,0
4,4500000,9800000,16,895,9800000,8200000,13900000,Approved,0.0,1.0,1.0,0.0,1
3,2900000,6500000,18,827,8300000,600000,10400000,Approved,0.0,1.0,1.0,0.0,1
2,8100000,18500000,6,372,19100000,10200000,31000000,Rejected,0.0,1.0,1.0,0.0,0
5,7900000,29900000,6,568,5800000,13900000,15900000,Approved,0.0,1.0,1.0,0.0,1
3,9000000,33100000,16,456,23800000,7000000,26000000,Rejected,1.0,0.0,0.0,1.0,0
5,5400000,18800000,20,326,9700000,10100000,14800000,Rejected,0.0,1.0,0.0,1.0,0
2,9100000,21700000,12,549,25500000,11000000,34700000,Rejected,1.0,0.0,1.0,0.0,0
3,2500000,9300000,4,810,2700000,3300000,9400000,Approved,1.0,0.0,1.0,0.0,1
5,6600000,25800000,10,670,4600000,7200000,20600000,Approved,0.0,1.0,1.0,0.0,1
0,3800000,11700000,2,351,100000,6700000,12500000,Approved,1.0,0.0,0.0,1.0,1
1,9200000,29700000,10,607,17800000,11800000,35700000,Approved,1.0,0.0,1.0,0.0,1
5,2400000,6800000,8,464,1900000,1300000,9500000,Rejected,1.0,0.0,0.0,1.0,0
5,6200000,23600000,10,331,18500000,10300000,23800000,Rejected,0.0,1.0,0.0,1.0,0
0,3000000,7000000,12,409,6400000,4900000,8000000,Rejected,0.0,1.0,1.0,0.0,0
0,3500000,7800000,14,366,6400000,3000000,13700000,Rejected,1.0,0.0,1.0,0.0,0
0,4500000,17500000,10,495,10300000,3500000,9700000,Rejected,0.0,1.0,1.0,0.0,0
5,800000,2200000,6,493,900000,500000,2800000,Rejected,1.0,0.0,1.0,0.0,0
4,300000,1100000,12,674,600000,0,800000,Approved,1.0,0.0,0.0,1.0,1
2,2100000,4500000,18,591,2500000,500000,5500000,Approved,0.0,1.0,0.0,1.0,1
4,600000,1600000,6,784,300000,100000,1900000,Approved,0.0,1.0,1.0,0.0,1
3,6900000,19000000,14,348,4200000,3700000,19400000,Rejected,1.0,0.0,0.0,1.0,0
3,3400000,9700000,20,728,1500000,1500000,7300000,Approved,1.0,0.0,0.0,1.0,1
5,1000000,3500000,18,882,900000,500000,2900000,Approved,1.0,0.0,0.0,1.0,1
1,6800000,17600000,14,344,5500000,5600000,18100000,Rejected,1.0,0.0,0.0,1.0,0
3,4200000,15400000,8,362,9900000,5300000,15500000,Rejected,1.0,0.0,0.0,1.0,0
0,2200000,6400000,4,854,900000,1600000,6500000,Approved,1.0,0.0,1.0,0.0,1
0,9000000,33500000,8,801,11600000,8900000,35400000,Approved,1.0,0.0,1.0,0.0,1
4,1300000,4100000,18,886,2800000,500000,3800000,Approved,0.0,1.0,1.0,0.0,1
3,4400000,16300000,20,561,5500000,8000000,12000000,Approved,0.0,1.0,0.0,1.0,1
3,7700000,26400000,12,759,3400000,2900000,21900000,Approved,0.0,1.0,1.0,0.0,1
3,1000000,3200000,14,790,1900000,100000,3600000,Approved,0.0,1.0,0.0,1.0,1
4,5300000,10700000,12,700,15800000,1900000,20500000,Approved,0.0,1.0,0.0,1.0,1
5,1400000,2900000,4,829,800000,600000,5400000,Approved,1.0,0.0,1.0,0.0,1
2,5000000,10700000,2,753,12600000,9000000,11500000,Approved,0.0,1.0,0.0,1.0,1
5,2700000,8700000,14,772,2200000,2800000,7600000,Approved,0.0,1.0,1.0,0.0,1
0,8600000,29000000,18,481,21200000,2600000,27700000,Rejected,1.0,0.0,1.0,0.0,0
2,8200000,27200000,10,839,9200000,6400000,25500000,Approved,0.0,1.0,0.0,1.0,1
4,8900000,34900000,14,694,15400000,2800000,20600000,Approved,0.0,1.0,1.0,0.0,1
1,400000,700000,10,787,1000000,200000,1600000,Approved,1.0,0.0,0.0,1.0,1
1,7400000,18400000,20,421,18500000,9100000,17500000,Rejected,1.0,0.0,1.0,0.0,0
4,5000000,18000000,14,307,5300000,5600000,12800000,Rejected,0.0,1.0,0.0,1.0,0
2,6300000,18100000,6,671,7900000,8200000,13200000,Approved,0.0,1.0,0.0,1.0,1
5,3700000,12000000,12,605,4900000,1800000,13200000,Approved,1.0,0.0,0.0,1.0,1
2,7000000,20200000,8,668,16600000,5000000,26100000,Approved,0.0,1.0,1.0,0.0,1
3,4100000,8500000,2,833,12000000,0,16200000,Approved,0.0,1.0,1.0,0.0,1
3,900000,2500000,20,529,900000,300000,3200000,Rejected,0.0,1.0,0.0,1.0,0
1,5400000,19300000,12,784,5000000,1800000,20300000,Approved,1.0,0.0,0.0,1.0,1
4,8000000,31500000,18,683,10300000,7900000,30100000,Approved,1.0,0.0,1.0,0.0,1
0,1600000,4500000,18,463,100000,2000000,4100000,Rejected,0.0,1.0,1.0,0.0,0
3,6200000,14900000,14,567,1200000,9100000,20800000,Approved,1.0,0.0,1.0,0.0,1
0,6600000,15200000,18,497,1500000,6900000,14500000,Rejected,1.0,0.0,1.0,0.0,0
0,9100000,18300000,14,458,6100000,9200000,34100000,Rejected,0.0,1.0,1.0,0.0,0
1,3200000,9300000,6,483,6700000,1900000,7800000,Rejected,1.0,0.0,0.0,1.0,0
3,4100000,13900000,20,383,1900000,2300000,15800000,Rejected,0.0,1.0,0.0,1.0,0
1,5200000,11200000,6,698,14100000,7600000,18800000,Approved,1.0,0.0,1.0,0.0,1
1,1700000,6600000,4,797,2800000,1900000,6100000,Approved,0.0,1.0,1.0,0.0,1
5,9600000,38000000,10,359,2100000,13600000,38200000,Rejected,1.0,0.0,0.0,1.0,0
0,4300000,11000000,4,374,7100000,7300000,9300000,Rejected,0.0,1.0,1.0,0.0,0
4,1500000,3100000,6,885,100000,2800000,3800000,Approved,0.0,1.0,1.0,0.0,1
5,600000,1200000,8,343,100000,700000,1600000,Rejected,0.0,1.0,0.0,1.0,0
4,4900000,11400000,8,470,12000000,7500000,14700000,Rejected,0.0,1.0,1.0,0.0,0
0,6000000,15300000,8,709,8900000,1700000,16400000,Approved,0.0,1.0,1.0,0.0,1
4,1600000,5500000,10,577,400000,1200000,4100000,Approved,1.0,0.0,1.0,0.0,1
3,5800000,16700000,18,633,8100000,8400000,14700000,Approved,1.0,0.0,0.0,1.0,1
0,1800000,5400000,16,555,3900000,2900000,5100000,Approved,1.0,0.0,1.0,0.0,1
5,9000000,25900000,4,538,11100000,11100000,31300000,Rejected,1.0,0.0,1.0,0.0,0
1,4300000,16400000,20,397,6700000,6200000,10200000,Rejected,0.0,1.0,1.0,0.0,0
3,6900000,22700000,4,650,900000,13400000,15500000,Approved,0.0,1.0,1.0,0.0,1
4,400000,800000,16,685,500000,300000,1300000,Approved,1.0,0.0,1.0,0.0,1
0,1300000,4900000,12,555,2400000,1200000,4100000,Approved,0.0,1.0,1.0,0.0,1
5,300000,1100000,2,300,100000,500000,700000,Approved,1.0,0.0,1.0,0.0,1
3,2300000,8000000,14,472,4400000,3300000,7700000,Rejected,1.0,0.0,0.0,1.0,0
2,2400000,7500000,4,851,3100000,700000,5600000,Approved,1.0,0.0,0.0,1.0,1
2,400000,1300000,2,885,200000,300000,1100000,Approved,0.0,1.0,0.0,1.0,1
1,3100000,11500000,4,871,1500000,2400000,7100000,Approved,1.0,0.0,0.0,1.0,1
3,1400000,2700000,14,694,3800000,200000,3600000,Approved,1.0,0.0,0.0,1.0,1
3,5600000,20900000,14,649,4000000,10700000,13000000,Approved,0.0,1.0,0.0,1.0,1
3,4400000,10500000,18,677,100000,2000000,12100000,Approved,0.0,1.0,1.0,0.0,1
0,8200000,20300000,4,666,13100000,10200000,25900000,Approved,0.0,1.0,1.0,0.0,1
1,7100000,26000000,16,727,4300000,9500000,18900000,Approved,1.0,0.0,1.0,0.0,1
3,7800000,19600000,4,767,18100000,10500000,20500000,Approved,1.0,0.0,0.0,1.0,1
4,9700000,33300000,12,784,14600000,15800000,37900000,Approved,1.0,0.0,0.0,1.0,1
5,500000,1500000,4,476,200000,200000,1100000,Approved,1.0,0.0,0.0,1.0,1
2,7000000,25700000,18,374,3400000,13700000,14900000,Rejected,0.0,1.0,1.0,0.0,0
3,8400000,20500000,12,796,22900000,10500000,17600000,Approved,0.0,1.0,0.0,1.0,1
4,7900000,30700000,10,322,10600000,13200000,30300000,Rejected,1.0,0.0,0.0,1.0,0
2,1300000,4900000,8,582,2100000,1800000,3400000,Approved,0.0,1.0,0.0,1.0,1
1,3100000,7400000,18,487,8400000,1200000,9200000,Rejected,1.0,0.0,1.0,0.0,0
2,1300000,3200000,4,810,3800000,2100000,4300000,Approved,0.0,1.0,0.0,1.0,1
5,2500000,6400000,16,590,3200000,3900000,5800000,Approved,1.0,0.0,1.0,0.0,1
4,7000000,25700000,20,597,19900000,13500000,27500000,Approved,1.0,0.0,1.0,0.0,1
5,4100000,10200000,12,431,6200000,2200000,13700000,Rejected,1.0,0.0,1.0,0.0,0
5,5900000,16400000,12,891,10200000,10400000,19600000,Approved,0.0,1.0,1.0,0.0,1
4,6100000,21700000,6,860,13900000,900000,14100000,Approved,1.0,0.0,0.0,1.0,1
3,3500000,10200000,12,645,10400000,5700000,10000000,Approved,1.0,0.0,0.0,1.0,1
2,600000,1700000,2,495,1700000,200000,1200000,Rejected,0.0,1.0,0.0,1.0,0
1,3200000,8100000,10,670,9100000,3800000,9200000,Approved,0.0,1.0,0.0,1.0,1
3,600000,1400000,16,509,600000,300000,2400000,Rejected,0.0,1.0,0.0,1.0,0
5,9800000,26600000,12,664,5200000,2900000,22500000,Approved,0.0,1.0,1.0,0.0,1
1,5800000,16700000,12,721,1100000,9700000,17200000,Approved,1.0,0.0,0.0,1.0,1
4,5500000,20000000,14,593,15100000,2700000,19900000,Approved,0.0,1.0,0.0,1.0,1
1,4100000,9400000,6,713,0,1000000,11100000,Approved,1.0,0.0,1.0,0.0,1
4,2500000,6100000,20,478,5900000,800000,9500000,Rejected,0.0,1.0,0.0,1.0,0
5,8800000,22600000,10,357,7900000,8600000,18200000,Rejected,1.0,0.0,1.0,0.0,0
1,300000,1200000,18,747,100000,0,700000,Rejected,1.0,0.0,1.0,0.0,0
1,9700000,34300000,20,756,15700000,18500000,26800000,Approved,1.0,0.0,0.0,1.0,1
5,5500000,17300000,16,874,1000000,2900000,13700000,Approved,0.0,1.0,0.0,1.0,1
0,4800000,18800000,16,551,7900000,9400000,17300000,Approved,0.0,1.0,1.0,0.0,1
3,8100000,21600000,4,740,22400000,3700000,16900000,Approved,0.0,1.0,1.0,0.0,1
0,7700000,24800000,10,642,16800000,10700000,27400000,Approved,1.0,0.0,1.0,0.0,1
2,1500000,4900000,16,387,-100000,2400000,3700000,Rejected,1.0,0.0,1.0,0.0,0
4,8000000,30100000,4,431,11900000,13800000,18800000,Approved,1.0,0.0,1.0,0.0,1
2,8600000,32500000,4,758,20900000,600000,18000000,Approved,1.0,0.0,0.0,1.0,1
2,3600000,8000000,12,566,10500000,3000000,8900000,Approved,0.0,1.0,1.0,0.0,1
2,6900000,16500000,16,785,19600000,8600000,27100000,Approved,0.0,1.0,1.0,0.0,1
4,600000,2100000,6,558,1300000,1000000,2200000,Approved,0.0,1.0,0.0,1.0,1
0,1400000,2700000,2,685,3400000,800000,5400000,Approved,1.0,0.0,1.0,0.0,1
3,8500000,30800000,20,448,23000000,1400000,22900000,Rejected,1.0,0.0,0.0,1.0,0
5,8300000,17700000,12,334,19600000,13200000,22500000,Rejected,0.0,1.0,1.0,0.0,0
2,7900000,18500000,18,727,20200000,12400000,19600000,Approved,1.0,0.0,1.0,0.0,1
0,1100000,2800000,18,431,500000,300000,4300000,Rejected,1.0,0.0,0.0,1.0,0
5,800000,2500000,4,780,500000,900000,1700000,Approved,0.0,1.0,0.0,1.0,1
3,7000000,26300000,12,481,14300000,12800000,15100000,Rejected,1.0,0.0,0.0,1.0,0
3,2000000,5800000,8,799,3000000,3100000,5500000,Approved,0.0,1.0,1.0,0.0,1
2,6600000,15000000,16,401,13600000,6600000,23500000,Rejected,0.0,1.0,1.0,0.0,0
3,3000000,7100000,6,415,2000000,5700000,9500000,Rejected,1.0,0.0,0.0,1.0,0
0,5600000,19300000,18,544,6400000,2800000,19900000,Rejected,0.0,1.0,1.0,0.0,0
1,400000,1300000,18,801,100000,0,1500000,Approved,0.0,1.0,0.0,1.0,1
2,2900000,7300000,8,394,7700000,2600000,7700000,Rejected,1.0,0.0,0.0,1.0,0
2,3700000,13500000,4,820,4700000,1600000,14000000,Approved,0.0,1.0,1.0,0.0,1
4,4200000,11500000,6,551,10600000,7600000,11300000,Approved,0.0,1.0,0.0,1.0,1
3,3500000,13700000,4,439,5200000,2800000,13000000,Approved,0.0,1.0,1.0,0.0,1
3,9500000,20600000,2,731,13400000,3800000,20700000,Approved,1.0,0.0,0.0,1.0,1
4,1800000,7000000,14,743,2600000,1000000,4500000,Approved,1.0,0.0,1.0,0.0,1
0,4400000,16800000,14,795,8700000,8700000,12600000,Approved,1.0,0.0,0.0,1.0,1
5,9000000,20400000,6,451,5200000,11400000,28200000,Rejected,1.0,0.0,0.0,1.0,0
2,7200000,23900000,4,559,4200000,12200000,17800000,Approved,1.0,0.0,0.0,1.0,1
3,5000000,17600000,8,303,6300000,9600000,12800000,Rejected,1.0,0.0,1.0,0.0,0
3,3800000,11800000,4,694,0,500000,8300000,Approved,1.0,0.0,1.0,0.0,1
0,3000000,8400000,10,361,7700000,200000,7300000,Rejected,1.0,0.0,1.0,0.0,0
5,8400000,22000000,2,830,3800000,3900000,19900000,Approved,0.0,1.0,0.0,1.0,1
1,2400000,5800000,20,384,1700000,2500000,8400000,Rejected,1.0,0.0,1.0,0.0,0
3,8500000,24900000,18,749,9600000,1200000,31700000,Approved,0.0,1.0,0.0,1.0,1
5,2300000,6700000,16,612,6700000,3300000,8800000,Approved,1.0,0.0,0.0,1.0,1
5,3600000,12800000,4,320,2500000,2900000,12600000,Approved,1.0,0.0,1.0,0.0,1
3,2200000,5300000,2,506,1600000,1700000,5800000,Rejected,1.0,0.0,0.0,1.0,0
1,1400000,3100000,20,384,200000,1200000,4200000,Rejected,1.0,0.0,1.0,0.0,0
2,4700000,14000000,12,784,13400000,2700000,14800000,Approved,1.0,0.0,1.0,0.0,1
2,5900000,14200000,12,499,9200000,11600000,20200000,Rejected,1.0,0.0,0.0,1.0,0
3,7800000,20000000,14,727,4600000,7200000,17300000,Approved,1.0,0.0,0.0,1.0,1
3,5000000,16700000,20,420,1100000,5000000,18700000,Rejected,0.0,1.0,0.0,1.0,0
5,2800000,10900000,6,359,5000000,3300000,7600000,Rejected,1.0,0.0,0.0,1.0,0
0,1000000,4000000,10,620,2400000,1300000,3700000,Approved,0.0,1.0,0.0,1.0,1
1,7300000,24200000,20,324,12900000,3700000,18400000,Rejected,1.0,0.0,1.0,0.0,0
4,2000000,4700000,18,733,3700000,3700000,7000000,Approved,0.0,1.0,1.0,0.0,1
2,700000,1700000,10,539,1400000,1000000,1900000,Rejected,0.0,1.0,0.0,1.0,0
3,6800000,23900000,12,565,18800000,2800000,18800000,Approved,1.0,0.0,0.0,1.0,1
5,6300000,14800000,6,608,16100000,10500000,21800000,Approved,0.0,1.0,1.0,0.0,1
3,8800000,28600000,10,775,5200000,5000000,32000000,Approved,0.0,1.0,0.0,1.0,1
5,5400000,16700000,2,354,1100000,4500000,19300000,Approved,0.0,1.0,0.0,1.0,1
1,4300000,14100000,12,525,2100000,1100000,14100000,Rejected,0.0,1.0,0.0,1.0,0
3,3400000,8100000,12,385,6100000,4000000,10700000,Rejected,0.0,1.0,1.0,0.0,0
0,9600000,23800000,12,389,25200000,15800000,27000000,Rejected,0.0,1.0,0.0,1.0,0
0,600000,1800000,18,796,1000000,700000,1200000,Approved,1.0,0.0,1.0,0.0,1
4,7200000,26000000,6,571,4700000,0,22600000,Approved,1.0,0.0,0.0,1.0,1
5,7500000,24600000,8,744,1600000,3600000,16700000,Approved,0.0,1.0,0.0,1.0,1
1,9100000,23300000,18,792,800000,12600000,32100000,Approved,0.0,1.0,1.0,0.0,1
5,5300000,18600000,4,386,2700000,9700000,11900000,Approved,1.0,0.0,0.0,1.0,1
4,8300000,25400000,4,624,22900000,4000000,24800000,Approved,1.0,0.0,0.0,1.0,1
1,7800000,16200000,2,335,4900000,7900000,28700000,Rejected,1.0,0.0,0.0,1.0,0
1,9000000,32200000,16,468,4500000,16400000,28600000,Rejected,0.0,1.0,0.0,1.0,0
0,4100000,14400000,4,844,2700000,6000000,9900000,Approved,1.0,0.0,1.0,0.0,1
4,3600000,12400000,18,494,5300000,100000,10200000,Rejected,0.0,1.0,0.0,1.0,0
4,5000000,18700000,10,755,3600000,600000,13000000,Approved,0.0,1.0,1.0,0.0,1
2,8700000,18900000,2,554,3900000,1900000,18000000,Approved,0.0,1.0,0.0,1.0,1
0,7400000,16300000,16,630,11200000,13200000,28400000,Approved,1.0,0.0,0.0,1.0,1
0,500000,1800000,2,651,700000,0,1700000,Approved,0.0,1.0,1.0,0.0,1
0,2000000,6200000,14,613,100000,1800000,5400000,Approved,1.0,0.0,1.0,0.0,1
2,2200000,6800000,20,546,4600000,200000,4500000,Rejected,1.0,0.0,1.0,0.0,0
3,9500000,20400000,14,376,2300000,6600000,25900000,Rejected,0.0,1.0,1.0,0.0,0
4,2800000,8400000,10,521,1500000,1200000,9100000,Rejected,0.0,1.0,0.0,1.0,0
5,2400000,7500000,12,357,2600000,2900000,6100000,Rejected,0.0,1.0,1.0,0.0,0
4,1600000,5100000,8,705,2400000,800000,5100000,Approved,0.0,1.0,1.0,0.0,1
0,1900000,5700000,18,699,5500000,200000,6500000,Approved,0.0,1.0,0.0,1.0,1
0,3300000,10800000,12,797,600000,6000000,7700000,Approved,0.0,1.0,0.0,1.0,1
5,3400000,11300000,20,871,6500000,3900000,9700000,Approved,1.0,0.0,0.0,1.0,1
4,8600000,26800000,12,802,7400000,2800000,32100000,Approved,0.0,1.0,0.0,1.0,1
5,7600000,26000000,6,778,12900000,2400000,25500000,Approved,1.0,0.0,1.0,0.0,1
5,6100000,14400000,16,400,9200000,2800000,23800000,Rejected,1.0,0.0,0.0,1.0,0
4,6700000,16000000,4,791,0,13000000,20700000,Approved,1.0,0.0,1.0,0.0,1
5,5600000,13600000,4,449,5900000,5700000,18800000,Rejected,0.0,1.0,1.0,0.0,0
2,3300000,11100000,20,823,4600000,1500000,11700000,Approved,1.0,0.0,0.0,1.0,1
3,3500000,10300000,16,324,2400000,900000,12600000,Rejected,1.0,0.0,1.0,0.0,0
5,5400000,19700000,20,423,6500000,10000000,15700000,Rejected,1.0,0.0,1.0,0.0,0
3,5800000,12800000,20,335,4400000,3000000,15300000,Rejected,0.0,1.0,1.0,0.0,0
4,5300000,18500000,8,470,2900000,9300000,14900000,Rejected,0.0,1.0,1.0,0.0,0
1,8400000,19700000,6,476,24700000,16500000,31800000,Rejected,1.0,0.0,0.0,1.0,0
4,2000000,8000000,6,837,5100000,2600000,3900000,Approved,1.0,0.0,0.0,1.0,1
1,3200000,11800000,16,848,5500000,3200000,7500000,Approved,1.0,0.0,0.0,1.0,1
3,2200000,8300000,18,314,1100000,900000,5800000,Rejected,0.0,1.0,1.0,0.0,0
4,6800000,22100000,4,446,3700000,4600000,18900000,Approved,1.0,0.0,0.0,1.0,1
2,2500000,9600000,4,636,900000,1000000,7300000,Approved,0.0,1.0,1.0,0.0,1
4,5900000,19700000,10,431,3300000,9200000,22700000,Rejected,1.0,0.0,0.0,1.0,0
1,8000000,20700000,6,570,1000000,11700000,23200000,Approved,0.0,1.0,0.0,1.0,1
2,5600000,20000000,10,367,13700000,5000000,19100000,Rejected,0.0,1.0,0.0,1.0,0
0,200000,600000,8,852,500000,0,400000,Approved,1.0,0.0,0.0,1.0,1
2,2000000,6700000,14,638,4900000,200000,4900000,Approved,0.0,1.0,0.0,1.0,1
3,9700000,35300000,4,462,11500000,9500000,33700000,Approved,1.0,0.0,1.0,0.0,1
3,6700000,16400000,2,508,4400000,10900000,25300000,Rejected,1.0,0.0,0.0,1.0,0
2,6600000,22900000,16,543,2500000,11000000,26300000,Rejected,0.0,1.0,1.0,0.0,0
2,3200000,12500000,8,849,400000,5300000,10400000,Approved,0.0,1.0,0.0,1.0,1
4,5700000,16900000,4,656,13000000,7400000,22000000,Approved,1.0,0.0,0.0,1.0,1
1,5200000,16300000,6,524,11000000,3400000,20700000,Rejected,1.0,0.0,0.0,1.0,0
5,3000000,11100000,12,441,8500000,2500000,7300000,Rejected,1.0,0.0,0.0,1.0,0
3,7200000,16500000,18,515,7800000,6300000,17300000,Rejected,1.0,0.0,0.0,1.0,0
1,200000,400000,18,859,300000,100000,400000,Approved,1.0,0.0,0.0,1.0,1
4,5800000,23200000,18,456,16100000,4200000,22600000,Rejected,0.0,1.0,0.0,1.0,0
2,2900000,10600000,6,614,1000000,300000,7600000,Approved,1.0,0.0,0.0,1.0,1
1,3800000,10500000,12,710,1800000,6200000,12500000,Approved,1.0,0.0,0.0,1.0,1
5,5800000,22200000,16,884,1200000,4800000,19500000,Approved,0.0,1.0,1.0,0.0,1
0,5600000,11600000,12,466,15000000,7400000,21800000,Rejected,1.0,0.0,1.0,0.0,0
1,3300000,7500000,12,648,6400000,1700000,8700000,Approved,1.0,0.0,0.0,1.0,1
2,3900000,11600000,8,808,5800000,3100000,12900000,Approved,0.0,1.0,0.0,1.0,1
4,5900000,20700000,10,825,11700000,7900000,21000000,Approved,0.0,1.0,0.0,1.0,1
2,8700000,24700000,10,435,6800000,3500000,21800000,Rejected,1.0,0.0,1.0,0.0,0
3,1400000,3500000,12,610,1200000,600000,3800000,Approved,1.0,0.0,0.0,1.0,1
1,2400000,6200000,12,337,3400000,2100000,9400000,Rejected,0.0,1.0,0.0,1.0,0
0,9100000,23300000,18,414,17700000,2500000,33800000,Rejected,0.0,1.0,0.0,1.0,0
0,1400000,2700000,2,649,2600000,1000000,5500000,Approved,1.0,0.0,1.0,0.0,1
0,600000,2300000,8,627,1800000,500000,2200000,Approved,1.0,0.0,1.0,0.0,1
5,9200000,34200000,4,565,500000,13900000,23600000,Approved,0.0,1.0,0.0,1.0,1
1,5100000,20000000,4,506,7900000,8900000,20300000,Approved,0.0,1.0,1.0,0.0,1
1,8300000,31800000,16,818,23400000,7400000,32200000,Approved,1.0,0.0,1.0,0.0,1
4,8700000,30000000,4,370,17600000,15600000,34600000,Approved,0.0,1.0,0.0,1.0,1
1,3000000,6000000,16,518,3800000,1700000,11600000,Rejected,0.0,1.0,0.0,1.0,0
2,1500000,3300000,18,440,800000,2300000,3000000,Rejected,1.0,0.0,1.0,0.0,0
0,4500000,12400000,18,719,10300000,200000,9200000,Approved,0.0,1.0,0.0,1.0,1
3,3700000,9000000,6,483,9300000,400000,9900000,Rejected,1.0,0.0,1.0,0.0,0
5,2200000,5400000,12,833,4900000,3300000,7000000,Approved,0.0,1.0,1.0,0.0,1
4,2900000,8900000,18,827,400000,3400000,11200000,Approved,0.0,1.0,0.0,1.0,1
3,6500000,22400000,6,488,16800000,11700000,21700000,Rejected,1.0,0.0,0.0,1.0,0
4,6000000,15800000,18,593,6800000,4800000,13200000,Approved,0.0,1.0,1.0,0.0,1
5,1300000,3000000,20,540,1000000,2300000,3200000,Rejected,1.0,0.0,1.0,0.0,0
5,8100000,22500000,2,808,4800000,6100000,16900000,Approved,1.0,0.0,0.0,1.0,1
2,5900000,14300000,2,410,11900000,4400000,16900000,Rejected,1.0,0.0,0.0,1.0,0
3,1700000,4600000,12,385,1500000,1300000,5200000,Rejected,1.0,0.0,0.0,1.0,0
3,3300000,12700000,16,608,3600000,6200000,12600000,Approved,0.0,1.0,0.0,1.0,1
2,5800000,22500000,6,888,11900000,2600000,17100000,Approved,0.0,1.0,0.0,1.0,1
2,2200000,5100000,20,859,3800000,1200000,6400000,Approved,1.0,0.0,0.0,1.0,1
1,6700000,18700000,8,583,9300000,4100000,17100000,Approved,1.0,0.0,1.0,0.0,1
2,5900000,14000000,8,599,4700000,9500000,17800000,Approved,1.0,0.0,1.0,0.0,1
1,8400000,24600000,14,817,1800000,13100000,31300000,Approved,0.0,1.0,1.0,0.0,1
2,8400000,23100000,6,689,5700000,2500000,18900000,Approved,1.0,0.0,1.0,0.0,1
4,5300000,14500000,4,352,12600000,4900000,10500000,Rejected,1.0,0.0,0.0,1.0,0
0,3300000,9700000,14,356,9800000,4800000,9400000,Rejected,1.0,0.0,0.0,1.0,0
5,6500000,13800000,10,342,15300000,2300000,14400000,Rejected,0.0,1.0,1.0,0.0,0
4,1600000,4800000,20,641,4200000,1000000,4100000,Approved,0.0,1.0,0.0,1.0,1
0,6900000,18600000,10,330,19600000,9400000,16400000,Rejected,1.0,0.0,0.0,1.0,0
1,1000000,3200000,4,888,2000000,1500000,2200000,Approved,1.0,0.0,0.0,1.0,1
0,1900000,6800000,4,782,100000,3400000,4900000,Approved,1.0,0.0,1.0,0.0,1
1,6000000,13400000,12,731,1300000,4300000,21300000,Approved,1.0,0.0,0.0,1.0,1
4,6700000,25300000,12,555,16900000,3600000,23500000,Approved,0.0,1.0,1.0,0.0,1
0,2800000,9900000,8,742,4900000,1300000,6700000,Approved,0.0,1.0,1.0,0.0,1
4,5800000,12800000,2,656,500000,5000000,16000000,Approved,0.0,1.0,1.0,0.0,1
0,600000,1600000,6,647,1500000,600000,1500000,Approved,0.0,1.0,1.0,0.0,1
0,3000000,11300000,16,478,5600000,2000000,9800000,Rejected,1.0,0.0,1.0,0.0,0
1,1200000,4500000,4,439,3200000,1800000,2900000,Approved,0.0,1.0,1.0,0.0,1
0,8800000,17500000,4,848,25400000,8200000,31600000,Approved,1.0,0.0,1.0,0.0,1
2,8200000,28700000,14,316,23300000,16100000,17700000,Rejected,0.0,1.0,0.0,1.0,0
2,9100000,34800000,20,836,21300000,10900000,30600000,Approved,1.0,0.0,0.0,1.0,1
1,2500000,7600000,20,888,7400000,4200000,6400000,Approved,1.0,0.0,1.0,0.0,1
1,7900000,15800000,8,551,800000,3500000,18700000,Approved,1.0,0.0,1.0,0.0,1
